Incident Date,Park Name,Cause of Death,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Intent,Outcome,Sex,Age Range,Activity
9/28/07,Yellowstone National Park,Fall,Fall,Unintentional,Fatal injury,Female,25-34,Not Reported
9/29/07,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related
9/29/07,New River Gorge National River,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Swimming
9/29/07,New River Gorge National River,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Not Reported
9/30/07,Katmai National Park & Preserve,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Not Reported,Not Reported,Flying
9/30/07,Katmai National Park & Preserve,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Not Reported,Not Reported,Flying
9/30/07,Katmai National Park & Preserve,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Not Reported,Not Reported,Flying
9/30/07,Katmai National Park & Preserve,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Not Reported,Not Reported,Flying
10/5/07,Gauley River National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Vessel Related
10/5/07,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
10/6/07,Haleakala National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported
10/8/07,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,0-14,Not Reported
10/9/07,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Female,0-14,Not Reported
10/14/07,Gila Cliff Dwellings National Monument,Undetermined,Undetermined,Undetermined,Fatal injury,Male,25-34,Not Reported
10/19/07,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+,Driving 
10/22/07,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving 
11/6/07,Cape Lookout National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related
11/11/07,Yosemite National Park,Hypothermia,Environmental,Unintentional,Fatal injury,Male,35-44,Not Reported
11/23/07,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
11/25/07,Yellowstone National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving 
11/25/07,Yellowstone National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,25-34,Driving 
11/25/07,Yellowstone National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported,Driving 
11/27/07,Rocky Mountain National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,65+,Not Reported
12/8/07,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
12/18/07,Mount Rainier National Park,Avalanche,Environmental,Unintentional,Fatal injury,Male,15-24,Snowshoeing
12/18/07,Mount Rainier National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Not Reported
12/29/07,Death Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,25-34,Driving 
12/29/07,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Not Reported
1/5/08,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24,Driving 
1/26/08,Biscayne National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Vessel Related
1/28/08,Sequoia & Kings Canyon National Parks,Avalanche,Environmental,Unintentional,Fatal injury,Male,35-44,Skiing
1/29/08,Sequoia & Kings Canyon National Parks,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Not Reported
1/30/08,Chickamauga & Chattanooga National Military Park,Horseback riding incident,Other Transportation,Unintentional,Fatal injury,Female,55-64,Horseback (or mule) riding
2/8/08,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving 
2/9/08,Lake Mead National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Not Reported,35-44,Diving - Scuba
2/16/08,Yosemite National Park,Fall,Fall,Unintentional,Fatal injury,Male,0-14,Hiking
2/25/08,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving 
2/27/08,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+,Driving 
2/29/08,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related
3/3/08,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related
3/15/08,Gateway National Recreation Area,Firearm,Other,Unintentional,Fatal injury,Not Reported,Not Reported,Not Reported
3/15/08,Gateway National Recreation Area,Firearm,Other,Unintentional,Fatal injury,Not Reported,Not Reported,Not Reported
3/15/08,Haleakala National Park,Poisoning - Drugs,Poisoning,Unintentional,Fatal injury,Male,15-24,Camping
3/17/08,Grand Canyon National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Vessel Related
3/19/08,Mount Rainier National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,45-54,Not Reported
3/26/08,Shenandoah National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Not Reported
4/3/08,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related
4/3/08,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related
4/14/08,Golden Gate National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Female,15-24,Not Reported
4/18/08,Little River Canyon National Preserve,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Male,35-44,Flying
4/26/08,Suitland,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
4/26/08,Suitland,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
5/2/08,North Cascades National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,25-34,Not Reported
5/2/08,Suitland,Undetermined,Undetermined,Undetermined,Fatal injury,Male,15-24,Not Reported
5/3/08,Big Thicket National Preserve,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
5/4/08,Buffalo National River,Drowning,Drowning,Unintentional,Fatal injury,Male,0-14,Vessel Related
5/5/08,Pinnacles National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported,Driving 
5/17/08,North Cascades National Park,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Male,55-64,Flying
5/17/08,North Cascades National Park,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Male,65+,Flying
5/17/08,Chickasaw National Recreation Area,Vessel Incident ,Other Transportation,Unintentional,Fatal injury,Male,15-24,Vessel Related
5/20/08,Redwood National and State Parks,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Vessel Related
5/20/08,New River Gorge National River,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related
5/23/08,New River Gorge National River,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related
5/23/08,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported,Driving 
5/26/08,George Washington Memorial Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving 
5/27/08,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+,Driving 
5/29/08,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
5/31/08,Curecanti National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related
5/31/08,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,25-34,Driving 
6/1/08,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Swimming
6/1/08,Little River Canyon National Preserve,Drowning,Drowning,Unintentional,Fatal injury,Female,0-14,Swimming
6/2/08,Canyonlands National Park,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Male,45-54,Flying
6/2/08,Canyonlands National Park,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Male,65+,Flying
6/4/08,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+,Driving 
6/6/08,Gulf Islands National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Female,45-54,Swimming
6/7/08,Buffalo National River,Drowning,Drowning,Unintentional,Fatal injury,Female,35-44,Swimming
6/8/08,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,45-54,Swimming
6/8/08,Canyonlands National Park,Fall,Fall,Unintentional,Fatal injury,Male,55-64,Camping
6/9/08,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
6/9/08,Rocky Mountain National Park,Fall,Fall,Unintentional,Fatal injury,Male,65+,Not Reported
6/9/08,Mount Rainier National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,25-34,Climbing
6/10/08,Mount Rainier National Park,Hypothermia,Environmental,Unintentional,Fatal injury,Male,25-34,Hiking
6/13/08,Chattahoochee River National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
6/14/08,Canyonlands National Park,Fall,Fall,Unintentional,Fatal injury,Male,65+,Not Reported
6/15/08,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
6/15/08,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported,Driving 
6/21/08,Saguaro National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported,Driving 
6/23/08,Grand Teton National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
6/24/08,Glen Canyon National Recreation Area,Poisoning - Carbon monoxide,Poisoning,Unintentional,Fatal injury,Not Reported,Not Reported,Camping
6/25/08,Golden Gate National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Fishing
6/25/08,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
6/28/08,Mammoth Cave National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,35-44,Driving 
6/29/08,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
6/30/08,Saguaro National Park,Bicycle only crash,Other Transportation,Unintentional,Fatal injury,Male,35-44,Bicycling
7/4/08,Upper Delaware Scenic & Recreational River,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
7/4/08,Upper Delaware Scenic & Recreational River,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
7/4/08,Mount Rainier National Park,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Climbing
7/4/08,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Climbing
7/5/08,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Swimming
7/7/08,Big South Fork National River and Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
7/7/08,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Climbing
7/9/08,Golden Gate National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported,Not Reported
7/9/08,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported,Not Reported
7/13/08,Indiana Dunes National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,0-14,Swimming
7/19/08,Grand Teton National Park,Fall,Fall,Unintentional,Fatal injury,Male,55-64,Climbing
7/19/08,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
7/21/08,Upper Delaware Scenic & Recreational River,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
7/25/08,Gateway National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Not Reported
7/26/08,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Swimming
7/26/08,North Cascades National Park,Fall,Fall,Unintentional,Fatal injury,Female,45-54,Climbing
7/27/08,Dinosaur National Monument,Drowning,Drowning,Unintentional,Fatal injury,Male,0-14,Vessel Related
7/29/08,Gateway National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Not Reported
8/2/08,Indiana Dunes National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,0-14,Swimming
8/8/08,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Photographing
8/9/08,Grand Teton National Park,Fall,Fall,Unintentional,Fatal injury,Male,55-64,Not Reported
8/9/08,Grand Teton National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving 
8/9/08,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,65+,Not Reported
8/12/08,Great Falls Park,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Not Reported
8/21/08,Glacier National Park,Avalanche,Environmental,Unintentional,Fatal injury,Not Reported,Not Reported,Climbing
8/24/08,Lassen Volcanic National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,55-64,Driving 
8/27/08,Great Smoky Mountains National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Vessel Related
8/27/08,Lassen Volcanic National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving 
8/28/08,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Male,55-64,Hiking
8/29/08,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related
8/29/08,New River Gorge National River,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
9/1/08,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Swimming
9/7/08,Mojave National Preserve,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving 
9/8/08,Yosemite National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
9/10/08,Glen Canyon National Recreation Area,Flash flood,Environmental,Unintentional,Fatal injury,Male,55-64,Canyoneering
9/10/08,Glen Canyon National Recreation Area,Flash flood,Environmental,Unintentional,Fatal injury,Female,55-64,Canyoneering
9/11/08,Great Falls Park,Drowning,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported,Not Reported
9/20/08,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Vessel Related
9/21/08,Indiana Dunes National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,0-14,Swimming
9/25/08,Big Thicket National Preserve,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,45-54,Driving 
9/29/08,Shenandoah National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,45-54,Not Reported
9/30/08,Rocky Mountain National Park,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Skiing
10/3/08,Gauley River National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,55-64,Vessel Related
10/3/08,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
10/5/08,National Mall & Memorial Parks,Bicycle only crash,Other Transportation,Unintentional,Fatal injury,Male,15-24,Bicycling
10/5/08,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24,Driving 
10/5/08,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
10/16/08,Redwood National and State Parks,Fall,Fall,Unintentional,Fatal injury,Female,15-24,Not Reported
10/17/08,Zion National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing
10/17/08,Golden Gate National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Walking
10/22/08,Glacier National Park,Fall,Fall,Unintentional,Fatal injury,Male,Not Reported,Not Reported
11/4/08,Buffalo National River,Firearm,Other,Unintentional,Fatal injury,Male,25-34,Not Reported
11/8/08,Great Smoky Mountains National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported
11/8/08,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Not Reported
11/16/08,Lake Mead National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Not Reported
11/18/08,Amistad National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Playing Sports
11/20/08,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,25-34,Driving 
11/28/08,Zion National Park,Fall,Fall,Unintentional,Fatal injury,Male,55-64,Not Reported
11/29/08,Zion National Park,Fall,Fall,Unintentional,Fatal injury,Male,55-64,Not Reported
12/4/08,Amistad National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Not Reported
12/14/08,Gateway National Recreation Area,Hypothermia,Environmental,Unintentional,Fatal injury,Male,55-64,Not Reported
12/16/08,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving 
12/18/08,Harpers Ferry National Historical Park,Undetermined,Undetermined,Undetermined,Fatal injury,Female,65+,Not Reported
12/26/08,Cuyahoga Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Driving 
12/29/08,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving 
1/4/09,Golden Gate National Recreation Area,Hypothermia,Environmental,Unintentional,Fatal injury,Female,65+,Walking
1/9/09,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related
1/9/09,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related
1/16/09,Hawaii Volcanoes National Park,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Male,65+,Flying
1/18/09,Hawaii Volcanoes National Park,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Male,65+,Flying
1/20/09,Chesapeake & Ohio Canal National Historical Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving 
1/24/09,Voyageurs National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,25-34,Snowmobiling
1/24/09,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported,Not Reported
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
2/3/09,Great Smoky Mountains National Park,Asphyxiation,Other,Unintentional,Fatal injury,Male,55-64,Suicide
2/5/09,Grand Canyon National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported,Not Reported
2/8/09,Golden Gate National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Flying
2/9/09,Golden Gate National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Flying
2/10/09,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Walking
2/17/09,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving 
2/18/09,Golden Gate National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Not Reported
3/7/09,Hot Springs National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
3/9/09,Chattahoochee River National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,45-54,Not Reported
3/15/09,Joshua Tree National Park,Fall,Fall,Unintentional,Fatal injury,Male,65+,Climbing
3/16/09,Grand Canyon National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Not Reported
3/26/09,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving 
4/3/09,Great Falls Park,Drowning,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported,Vessel Related
4/5/09,Biscayne National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,0-14,Vessel Related
4/5/09,Biscayne National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Vessel Related
4/8/09,Saint Croix National Scenic Riverway,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Vessel Related
4/10/09,Great Smoky Mountains National Park,Fall,Fall,Unintentional,Fatal injury,Male,65+,Hiking
4/12/09,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,45-54,Vessel Related
4/22/09,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,45-54,Bicycling
4/24/09,Gulf Islands National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Swimming
4/25/09,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,Not Reported,Vessel Related
4/25/09,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,Not Reported,Vessel Related
4/25/09,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related
4/25/09,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,Not Reported,Vessel Related
4/26/09,Chesapeake & Ohio Canal National Historical Park,Drowning,Drowning,Unintentional,Fatal injury,Male,0-14,Vessel Related
4/26/09,Chesapeake & Ohio Canal National Historical Park,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Swimming
4/27/09,Gulf Islands National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Vessel Related
4/29/09,Rocky Mountain National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Not Reported,Not Reported,Not Reported
4/30/09,Grand Canyon National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
4/30/09,Grand Canyon National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
4/30/09,Grand Canyon National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
5/2/09,New River Gorge National River,Drowning,Drowning,Unintentional,Fatal injury,Female,Not Reported,Vessel Related
5/18/09,Yosemite National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,25-34,Not Reported
5/29/09,Yosemite National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Bicycling
6/2/09,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Male,65+,Not Reported
6/3/09,Virgin Islands National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,Not Reported,Snorkeling
6/9/09,Chickasaw National Recreation Area,Poisoning - other,Poisoning,Unintentional,Fatal injury,Not Reported,0-14,Not Reported
6/10/09,Big Bend National Park,Hyperthermia,Environmental,Unintentional,Fatal injury,Not Reported,Not Reported,Walking
6/11/09,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Hiking
6/11/09,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Hiking
6/13/09,Yosemite National Park,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Hiking
6/13/09,Richmond National Battlefield Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Driving 
6/15/09,Yosemite National Park,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Not Reported
6/17/09,Mojave National Preserve,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,25-34,Driving 
6/21/09,Great Falls Park,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
6/21/09,Great Falls Park,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
6/25/09,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Swimming
6/26/09,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Swimming
6/29/09,Chickasaw National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
7/3/09,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
7/4/09,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Swimming
7/11/09,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
7/14/09,Great Falls Park,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
7/19/09,Golden Gate National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Vessel Related
7/19/09,Sequoia & Kings Canyon National Parks,Drowning,Drowning,Unintentional,Fatal injury,Female,0-14,Swimming
7/19/09,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,35-44,Vessel Related
7/21/09,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Hiking
7/24/09,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Swimming
7/26/09,Upper Delaware Scenic & Recreational River,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
7/26/09,Death Valley National Park,Hyperthermia,Environmental,Unintentional,Fatal injury,Female,45-54,Not Reported
7/29/09,Dinosaur National Monument,Drowning,Drowning,Unintentional,Fatal injury,Female,45-54,Vessel Related
7/29/09,Big Thicket National Preserve,Drowning,Drowning,Unintentional,Fatal injury,Female,45-54,Swimming
7/29/09,Lassen Volcanic National Park,Rockfall,Environmental,Unintentional,Fatal injury,Male,0-14,Hiking
